Hospital Name,Address,Contact
National Heart Foundation Hospital,"Mirpur 02, Dhaka",09666-750075
Labaid Cardiac Hospital,"Address : House- 06, Road-04, Dhanmondi, Dhaka – 1205, Bangladesh","Phone : 10606 (Hotline), 01713333337 (Emergency), 01766663222 (Customer Care), 01766662111"
Ibrahim Cardiac Hospital & Research institute,"Ibrahim Cardiac Hospital Address: 122, Kazi Nazrul Islam Avenue, Shahbagh, Dhaka 1000","APPOINTMENT/ INFORMATION
41060451-8, Ext-206
HOT LINE: (88) 01714 006706"
Bangladesh Specialized Hospital Ltd. (BSHL),"21 Shyamoli, Mirpur Road, Dhaka-1207, Bangladesh",+8809666700100
United Hospital,"Plot 15, Road 71, Gulshan, Dhaka 1212, Bangladesh","+88 02 8836444, +88 02 8836000"
Asgar Ali Hospital,"111/1/A Distillery Road, Gandaria (Besides Dhupkhola Playground)Dhaka-1204, Bangladesh","10602,+8802 47443135-48,+8801787683333"
"Ibn Sina Specialized Hospital, Dhanmondi","House#68, Road#15/A, Dhanmondi, Dhaka-1209","Information & Doctor Serial-10615,: 0182-3039800, 01797-300100;"
Square Hospitals Ltd,"8/f, Bir uttam
Qazi Nuruzzaman sarak,
West Panthapath, Dhaka 1205",10616
Evercare Hospital,"Bashundhar r/a, Dhaka, PABX : (02) 8401661- 5",01713-064563 : 02-55037242
Delta Medical Centre Ltd.,"House # 20, Raod # 4, Dhanmondi R/A,",01929-713057
Green Hospital,"House #31, Road #6, Dhanmondi R/A",02-9612345
Institute Of Child Health And Shishu Hospital,"6/2, Barabag, Section #2, Mirpur.",02-48037559
Islami Bank Hospital,"24/B, Outer Circular Road",01810000116
Ad-Din Hospital,"Moghbazar, Dhaka,",09612-345666
Aichi Hospital,"House # 13, Eshakha Avenue Sector # 6, Uttara Dhaka",02-44891001
SIBL Foundation Hospital & Diagnostic Center,"Fattah Plaza, পান্থপথ, 70 Green Rd, 1205",01991-150900
BRB HOSPITAL LTD.,"Address: 77 panthapath, Dhaka 1205",09610-010647
Ahmed Medical Centre Ltd.,"House # 71, Road # 15-A, (New), Dhanmondi C/A",01797-619959
MH Samorita Hospital and Medical College,"117 Tejgaon, Love Rd, Dhaka 1208, Bangladesh.",01723-298921
Green Life Hospital Ltd.,"MAK Khan Tower, 31 and 31/1 Bir Uttam Shafiullah Sarak, Green Rd, Dhaka 1205",029612345
Al- Helal Speacialist Hospital,"150, Rokeya Sarani Senpara ParbataMirpur-10","+880-2-9008181, 9006820, 8058782, 8053481"
Al- Rajhi Hospital,"12, Farmgate. Dhaka -1215",01756-173765
Islamia Arogya Sadan Ltd.,"House #35, Road #1, Dhanmondi R/A.","8612798, 9671912"
BIRDEM,"Ibrahim Cardiac Hospital Address: 122, Kazi Nazrul Islam Avenue, Shahbagh, Dhaka 1000",02-41060483
Z.H. Sikder Women’s College & Hospital (Pvt) Ltd,"Monica Estate, (West side of Dhanmondi",01313-752222
The Barakah General Hospital Ltd.,"937, Outer Circular Road, Razarbagh",01720-045769
B.D.F. Hospital,"/7, Humayaun Road, Block # D, Mohammadpur,",+973 1776 6666
Monowara General Hospital,"Golapbagh, Bishwroad.",01713-143152
Mirpur Holy Crescent Hospital (Pvt) Ltd.,"33, South Bishil, Mirpur-1, Dhaka",01913-821665
Care Medical Center Ltd.,"41, Chamelibagh, Shantinagar",09677-223344
Bangladesh Medical College Hospital,"House # 35, Road # 14/A, Dhanmondi",02-44812101
Aysha Memorial Specialized Hospital,"74/G, Arjatpara, Mohakhali, Dhaka,",01841-480000
Al Anaiet Adhunik Hospital,"House # 36, Road # 3, Dhanmondi",+880-2-8631619
Al Jebel-E-Nur Heart Ltd.,"House # 21, Road # 9/A (New), Dhanmondi",0811-7031
Al-Ahsraf General Hospital,"House # 12 Road # 21,Sector # 4, Uttara",+880-2-8952851-2
Al-Biruni Hospital,"23/1, Khilzee Road, Shyamoli",01726-240489
Al-Fateh Medical Sevices (Pvt) Ltd.,"11, Farmgate over Bridge East Side",01675-385722
Al-Madina General Hospital (Pvt.) Ltd.,"2/A, Golden Street, Ring Road, Shamoli,",01819-691816
Al-Manar Hospital,"5/4, Block-F, Lalmatia Dhaka- 1207",02-58150197
Al-Markazul Islami Hospital,"21/17, Babar Road, Mohammadpur",01995-559999
Al-Mohite General Hospital & Diagnostic Centre,"House # 11, Road # 2, Shamoli",02-58150197
Bangladesh Heart & Chest Hospital,"Road # 27 (Old), 16 (New), House # 47, Dhanmondi",01792-141414
Bangladesh Telemedicine Services Ltd.,"Comfort Tower, 167/B, Green Road, Dhanmondi,",16263.
Bari-Ilizarov Orthopedic (Bio) Centre,"House # 77 (New) 831 (Old), Road # 9/A (New) 19 (Old), Dhanmondi R/A,",01619-120309
Bdm Hospital,"5/17, Humaund Road, Block # B, Mohammedpur",9134555
BNSB Dhaka Eye Hospital,"Mirpur-1, Dhaka","02-9010831, 02-9034476."
Brain & Mind Hospital Ltd.,"149/A, Airport Road, Farmgate, Baityl Shoraf Mosque Complex",(+88) 02-58156315
Brighton Hospital Ltd,"163, Sonargaon Road Hitirpool, Dhaka- 1205",+880-2-8626901
Bumrungrad Hospital,"House- 154, Road- 11, Block- E, Banani, Dhaka",01844 04 7060
Care Medical Center Ltd.,"41, Chamelibagh, Shantinagar,",09677-223344
Central Hospital Ltd.,"House # 2, Road # 5, Green Road, Dhanmondi,",02-41060806
Chandshi Medical Center,"House # 9, Road # 27, Block # K, Banani,",01918129245
China-Bangla Hospital (Jv) Ltd,"Plot # 1, Road # 7, Sector # 1, Uttara","+880-2-8913674, 8913606"
Christian Medical Hospital,"6/3, Nadda, Baridhara (North),",02-9886298
City Dental College & Hospital,"1085/1, Malibagh, Chowdhurypara,",01711-852750
City Hospital Ltd,"69/1/1, Panthpath Dhaka,",02-8143312
Crescent Gastroliver & General Hospital Ltd.,"House- 60, Road- 8/A, Dhanmondi R/A, Dhaka",+8801926100100.
Crescent Hospital & Diagnostic Complex Ltd.,"22/2, Babor Road, Mohammadpur",09666-710665
Dhaka National Hospital Ltd.,"House # 55/1, Road # 27 (Old) 16 (New), Dhanmondi R/A",02-47116331
Dhaka Renal Centre & General Hospital,"5 Green Corner, Green Road, Dhaka- 1205,",01849-428888
Dhaka Shishu Hospital,"Sher-E-Bangla Nagar, Dhaka",02-55059051
Dhanmondi Hospital (Pvt) Ltd.,"House #19/E, Green Road, Middle of Road #6&7, Dhanmondi.",01711540246
Diabetic Association Of Bangladesh,"122, Kazi Nazrul Islam Avenue, Shahbagh.",02-9661551
Diganta Anti Drug Hospital,"House #353, Road #14, Block# B, Chanduaon R/A.",031-671393
Farabi General Hospital,"Road #14 (New), House #8/3,Dhanmondi R/A, Dhaka- 1209","02-58156167, 01776117704,"
Faud Al Khatib Hospital,"Almas Tower, 282/1, 1st Colony, Majar Road, Mirpur",01790-342233
Federal Medical College Hospital Ltd,"20, Link Road, Bangla Motor",02-8130093
General Hospital Ltd,"House #60, Road #8/A,Dhanmondi, R/A, Dhaka.",02-41060806
General Medical Hospital (Pvt.) Ltd.,"103, Elephant Road, Dhaka-1205",+880-2-861932
Grain & Mind Hospital Ltd.,"149/A, Airport Road, Farmgate, Baitus Sharaf Mosque Complex",01766-622273
Greenland Hospital,"House #4, Road #4, Sector #7, Uttara Model Town",8912663
Harun Eye Foundation & Green Hospital,"Road #6, House #31, Dhanmondi R/A, Dhaka.","8612412, 8619068"
Hasnabad Hospital (Pvt) Ltd,"South West Side of Buri Ganga Bridge, Hasnabad",7419977
Health And Hope Ltd.,"152/1-H, Green Road, Panthopath (Green Road – Panthopath Crossing",9145786
Hyfia General Hospital,"1/A, Adabar, Ring Road, Shamoli, Dhaka",
International Hospital,"6, Eskaton Garden, Moghbazar",9333739
Islamia Eye Hospital,"Farmgate, Dhaka","8112856, 319315, 9119315"
Khaliqun Nessa General Hospital,"61, Becharam Dewri.","7312449, 7313583"
Medi Prime Orthopaedic Hospital,"1/9, Humayan Road, College Gate, Mohammadpur, Dhaka-1207",9139226
Medistine Hospital,"218, Outer Circular Road, Moghbazar, Dhaka",9345003
Meditech General Hospital (Pvt) Ltd.,"House #21, Road #2, Nikunja #2",8918345
Meriland Hospital,"Sector #1, Road #13, House #4, Uttara",8919481
Mirpur General Hospital,"House #35, Road #1, Sector #10, Mirpur",8015444
Mother Care Hospital (Pvt.) Ltd.,"3/10, Lalmatia, Block- A, Mirpur Road.",9119355
Mukti Hospital,"Hosue #2, Road #2, Gulshan #2, Dhaka","8827147, 606728"
Munsor Ali Medical College,"Sector #11, Road #19, Plot #1/C, Chowrasta, Uttara.",8917978
National Medical College & Hospital,"53/1, Johnson Road, Dhaka.",7117300
Neurology Foundation & Hospital,"3/1, Lake Circus, Kalabagan, Dhaka-1205",8114846
Padma General Hospital Ltd.,"290, Sonargaon Road.","9661528, 9662502"
Royel Hospital (Pvt.) Ltd.,"31, Eskaton Road",8313096
The Kidney Hospital And Dialysis Centre,"161/A, Kalabagan, Dhaka- 1205","8122019, 8123056"
The Specialized Hospital (Pvt) Ltd.,"House #40, Road #10/A,Dhanmondi R/A, Dhaka","9118523, 8114230, 8110263"
Uttara Central Hospital,"House #1, Road #7, Sector #1, Uttara Model Town.","8911551, 8918778"
